carflow2.0,241.65,194.064,1.7583,1.5708

bikeflow.0,173.954,108.25,5.54843,0

carflow2.0,241.65,191.141,3.83477,1.5708

bikeflow.0,179.484,108.25,5.521,0

bikeflow.0,185.011,108.25,5.50582,0

bikeflow.0,190.538,108.25,5.54217,0

carflow2.0,241.65,186.202,5.75896,1.5708

bikeflow.0,196.053,108.25,5.50265,0

carflow2.0,241.65,179.462,7.63969,1.5708

bikeflow.0,201.575,108.25,5.51595,0

carflow2.0,241.65,170.819,9.50492,1.5708

bikeflow.0,207.102,108.25,5.51643,0

carflow2.0,241.65,160.192,11.5326,1.5708

bikeflow.0,212.62,108.25,5.5127,0

carflow2.0,241.65,147.467,13.6825,1.5708

bikeflow.0,218.142,108.25,5.53112,0

carflow2.0,241.65,134.869,11.1685,1.5708

bikeflow.0,223.663,108.25,5.51176,0

carflow2.0,241.65,125.492,7.92095,1.5708

bikeflow.0,229.195,108.25,5.51329,0

carflow2.0,241.65,119.068,5.21043,1.5708

bikeflow.0,234.72,108.25,5.51175,0

carflow2.0,241.65,114.989,3.89557,1.5708

bikeflow.0,240.25,108.25,5.55044,0

carflow2.0,241.475,109.718,6.32883,1.60585

bikeflow.0,245.768,108.25,5.51493,0

carflow2.0,239.65,102.541,8.43983,1.89145

bikeflow.0,251.287,108.25,5.51681,0

carflow2.0,231.731,98.35,10.3767,2.91712

bikeflow.0,256.805,108.25,5.49871,0

carflow2.0,220.222,98.35,12.3429,-3.14159

bikeflow.0,262.339,108.25,5.5389,0

carflow2.0,206.903,98.35,13.8721,-3.14159

bikeflow.0,267.87,108.25,5.54686,0

carflow2.0,193.069,98.35,13.8734,-3.14159

bikeflow.0,273.387,108.25,5.49784,0

carflow2.0,179.217,98.35,13.8941,-3.14159

EOF

pimpilki.0,179.217,98.35,13.8941,-3.14159
